GEOID,latitude,longitude
270370615011,44.5866866,-93.21750158
271190204001,48.09643582,-96.81065232
271190210003,47.57257976,-95.70594868
271190203001,47.90143697,-97.00695549
271190210001,47.7783123,-95.70049832
271190204003,47.89002276,-96.80142654
271190205002,47.76326357,-96.56622931
271190205001,47.73201985,-96.79149923
271190209004,47.56390846,-95.91671312
271190209002,47.68546464,-96.03851969
271190205003,47.56834251,-96.63628634
271190208001,47.6545915,-96.34142777
271431702002,44.55398359,-94.34567164
271431702005,44.53401581,-94.33658091
271431703003,44.55107879,-94.23685584
270977806005,45.99111245,-94.35119706
270977806002,45.9790992,-94.33882522
270370607354,44.80573265,-93.19234981
270370604012,44.88003495,-93.04543871
270370607271,44.82292374,-93.15776486
270370611061,44.73478377,-92.89292393
270370603013,44.89266169,-93.04118981
270370607211,44.81290821,-93.21738723
270799502002,44.46321648,-93.88808836
270799504002,44.22969657,-93.61026057
270799506003,44.3326565,-93.85268605
270799502001,44.51118792,-93.87904946
270977807002,45.98819038,-94.37517232
270370604023,44.87181268,-93.03366122
271190204002,47.96117046,-96.706255
271190209003,47.69457824,-95.91165867
271190202002,47.9232777,-96.99144232
271190203002,47.90395542,-96.98574904
271190201001,47.95323557,-97.028991
271190201002,47.946169,-97.02979068
270270301082,46.84120328,-96.75452061
270270301091,46.83722846,-96.73082453
270270301111,46.8283538,-96.60793064
270270301092,46.84413172,-96.73234748
270270301101,46.82552596,-96.7288255
270270301113,46.85444141,-96.68644993
270270301103,46.71162104,-96.68177067
270270301081,46.8385813,-96.7627546
270270301102,46.82208204,-96.77772436
270270301112,46.85845323,-96.72537464
270270205004,46.85816607,-96.77826793
271711009003,45.10732309,-93.7439197
271711003002,45.35823646,-94.03620033
270119503003,45.31042449,-96.45430965
270119501001,45.38163041,-96.28685902
270119503001,45.28872143,-96.4225058
270119502001,45.48315225,-96.60443467
270119502002,45.5519876,-96.46522182
270471801003,43.71426232,-93.22735223
270471802001,43.80493365,-93.35264664
270471804003,43.66113256,-93.37377318
270270204004,46.86465939,-96.77157599
270270204003,46.86521233,-96.75530486
271711002033,45.30532129,-93.80186219
270799502003,44.45415963,-93.9223106
270799503002,44.44646248,-93.60339059
270799503003,44.44309036,-93.55321459
270459602001,43.75617839,-92.14342273
270459602003,43.72683496,-92.27579527
